,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
61,0.65,0.551,0,-6.906,1,0.0274,0.405,0.0,0.219,0.294,102.934,4t1DkxexoMbIHfSHS4Uiyr
62,0.395,0.397,11,-7.556,1,0.0368,0.735,0.0,0.11,0.303,70.568,5QtEFRYavs5S3GHtFEq7A4
63,0.5,0.539,9,-8.127,0,0.0593,0.572,0.0,0.323,0.29,140.078,4HAcv8v50i4ooMGxPGCMQB
64,0.473,0.401,4,-7.018,0,0.0241,0.629,1.17e-05,0.154,0.345,90.076,5WKOKmJjyVBfZOpdMvNY1V
65,0.56,0.768,2,-4.77,1,0.0655,0.494,0.0,0.0844,0.289,155.765,3P167vmmGRGKHoy7uDugvy
66,0.65,0.482,4,-8.667,1,0.0281,0.293,0.0,0.0811,0.517,106.994,4LO5DjN6Tp3UkUvgESuy2t
67,0.599,0.653,0,-7.576,0,0.122,0.362,0.0,0.144,0.678,79.968,0gRNu9dVzi5aC87AI1empZ
68,0.54,0.774,1,-7.873,0,0.0444,0.0524,0.0,0.142,0.384,191.809,2BeY2dQPbD8xYxx3yhBTVD
69,0.676,0.319,5,-9.201,1,0.0279,0.783,0.0,0.117,0.565,105.002,05nBv34NJeyLWEoezng4n5
70,0.468,0.91,11,-3.057,0,0.051,0.12,0.000304,0.271,0.694,163.842,18YHbIhrleUkKKj2DvEp79
71,0.656,0.721,8,-5.064,1,0.0364,0.277,0.000139,0.188,0.883,83.95,52itZ0w0CydihB2JCZEIft
72,0.461,0.481,0,-6.389,0,0.0327,0.789,1.01e-06,0.127,0.262,199.807,2b2HutIDmoeBnnKRWDLAtV
73,0.531,0.431,2,-8.937,0,0.037,0.868,2.47e-05,0.127,0.19,107.99,5T2ZZiBMDGh3TZDUbxg4rV
74,0.562,0.519,3,-8.744,1,0.0326,0.557,0.000268,0.172,0.415,122.925,3hkC9EHFZNQPXrtl8WPHnX
75,0.717,0.416,7,-9.875,0,0.0303,0.635,1.43e-06,0.0976,0.381,100.026,6bdpj89aYEBjhpsenXAsmO
76,0.554,0.578,5,-7.718,0,0.0379,0.536,5.53e-05,0.11,0.55,137.921,606dT4oMKQc9uDUv7ADy97
77,0.537,0.419,11,-11.585,1,0.0414,0.76,1.07e-05,0.107,0.292,132.258,2Aq3u8r55epOhtphZ4Tqel
78,0.321,0.455,3,-8.952,1,0.043,0.506,6.72e-06,0.0868,0.0683,92.361,7ba0rd3EjJq9dhRvCAxMzK
79,0.653,0.814,10,-3.036,0,0.0316,0.289,0.0,0.128,0.694,126.02,42epVqODeb3JYwG8XwahPi
80,0.394,0.641,0,-6.493,0,0.0312,0.276,0.0,0.0958,0.335,81.932,5PvwPy5eRO8BPwpRzCHK3D
81,0.684,0.771,8,-5.353,1,0.0307,0.548,0.0,0.112,0.539,119.982,0dLbrlAVPPjpPqnYfmJsWk
