,id,popularity,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
163,1O3WfEwaSpsgZ6tw8jNT8I,59,0.367,8,-9.362,1,0.0241,0.815,0.0,0.132,0.348,90.953,264614,4
164,30mlucMEfqxKXPNGSAwKYc,44,0.504,2,-6.283,1,0.0347,0.507,1.32e-05,0.149,0.36,78.015,274102,4
165,4RzaXbufKNBwaFuzJhGur5,55,0.684,5,-6.179,0,0.0257,0.342,1.53e-05,0.115,0.241,103.951,357634,4
166,7LWWWB3Ht5L3bW9JpqMwCI,59,0.717,4,-6.241,0,0.0831,0.396,0.0,0.407,0.54,95.338,148073,4
167,7fyiYhn7STpHvT5g0lbncC,62,0.752,4,-4.857,0,0.0534,0.305,0.0,0.708,0.428,127.965,274687,4
168,6f7zyAEUCZuvX4Zty62Z5o,55,0.748,1,-14.163,0,0.0616,0.11,0.0,0.0998,0.699,131.989,341360,4
169,0O3y3WAawIOBZFzlsSiyjM,0,0.516,3,-8.559,1,0.0341,0.972,0.3,0.12,0.408,111.276,233093,4
170,3HiobOOpSpMsi95WBKPBYk,69,0.359,0,-7.569,1,0.0312,0.845,0.0,0.133,0.193,73.059,398799,4
171,4BOYIpYF7zTYtAkpjoD687,67,0.551,8,-7.351,1,0.0361,0.651,0.0,0.124,0.556,75.899,286380,4
172,6f7zyAEUCZuvX4Zty62Z5o,55,0.748,1,-14.163,0,0.0616,0.11,0.0,0.0998,0.699,131.989,341360,4
173,2QY6SJXVnBFaqxOZhC1Fuu,55,0.925,7,-6.215,0,0.103,0.162,0.0,0.255,0.738,175.117,235102,4
174,4TPQHwC2bZBLZ5PdzdqMeL,41,0.501,0,-10.883,1,0.0941,0.611,2.64e-05,0.215,0.825,175.937,379324,3
175,4cNbz1UdBCrnGOg0NNP1iF,64,0.297,6,-8.639,1,0.0292,0.879,0.0,0.0938,0.466,89.96,229878,4
176,6oS8VK3iTAoYZI462FghOZ,0,0.815,3,-5.373,0,0.0599,0.0081,2.35e-05,0.586,0.678,129.999,179912,4
